id,group,sample,group_original,sample_original,directory,lane,fastq_1,fastq_2,read_num_1,read_num_2
UMI8b.IL.DFSS3.24C_UMI8b.2.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.2.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_2_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_2_Illumina_24c_S18_R1_001.fastq.gz,20230818/K562_DFSS3_2_Illumina_24c_S18_R3_001.fastq.gz,29510069,29510069
UMI8b.IL.DFSS3.24C_UMI8b.3.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.3.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_3_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_3_Illumina_24c_S24_R1_001.fastq.gz,20230804/K562_DFSS3_3_Illumina_24c_S24_R3_001.fastq.gz,3754573,3754573
UMI8b.IL.DFSS3.24C_UMI8b.3.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.3.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_3_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_3_Illumina_24c_S19_R1_001.fastq.gz,20230818/K562_DFSS3_3_Illumina_24c_S19_R3_001.fastq.gz,32810993,32810993
UMI8b.IL.DFSS3.24C_UMI8b.4.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.4.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_4_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_4_Illumina_24c_S25_R1_001.fastq.gz,20230804/K562_DFSS3_4_Illumina_24c_S25_R3_001.fastq.gz,3690099,3690099
UMI8b.IL.DFSS3.24C_UMI8b.4.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.4.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_4_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_4_Illumina_24c_S20_R1_001.fastq.gz,20230818/K562_DFSS3_4_Illumina_24c_S20_R3_001.fastq.gz,31921323,31921323
UMI8b.IL.THSS3.24C_UMI8b.1.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.1.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_1_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_1_Illumina_24c_S26_R1_001.fastq.gz,20230804/K562_THSS3_1_Illumina_24c_S26_R3_001.fastq.gz,2089687,2089687
UMI8b.IL.THSS3.24C_UMI8b.1.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.1.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_1_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_1_Illumina_24c_S21_R1_001.fastq.gz,20230818/K562_THSS3_1_Illumina_24c_S21_R3_001.fastq.gz,33458733,33458733
UMI8b.IL.THSS3.24C_UMI8b.2.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.2.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_2_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_2_Illumina_24c_S27_R1_001.fastq.gz,20230804/K562_THSS3_2_Illumina_24c_S27_R3_001.fastq.gz,2789881,2789881
UMI8b.IL.THSS3.24C_UMI8b.2.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.2.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_2_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_2_Illumina_24c_S22_R1_001.fastq.gz,20230818/K562_THSS3_2_Illumina_24c_S22_R3_001.fastq.gz,33169695,33169695
UMI8b.IL.THSS3.24C_UMI8b.3.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.3.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_3_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_3_Illumina_24c_S28_R1_001.fastq.gz,20230804/K562_THSS3_3_Illumina_24c_S28_R3_001.fastq.gz,4217887,4217887
UMI8b.IL.THSS3.24C_UMI8b.3.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.3.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_3_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_3_Illumina_24c_S23_R1_001.fastq.gz,20230818/K562_THSS3_3_Illumina_24c_S23_R3_001.fastq.gz,33929883,33929883
UMI8b.IL.THSS3.24C_UMI8b.4.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.4.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_4_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_4_Illumina_24c_S29_R1_001.fastq.gz,20230804/K562_THSS3_4_Illumina_24c_S29_R3_001.fastq.gz,2996223,2996223
UMI8b.IL.THSS3.24C_UMI8b.4.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.4.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_4_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_4_Illumina_24c_S24_R1_001.fastq.gz,20230818/K562_THSS3_4_Illumina_24c_S24_R3_001.fastq.gz,32584759,32584759
